"Posting Date","Order","Material","Goods movement indic","Quantity in unit of entry","GR Non-Valuated","Material Document","Mat.document item","Movement Type","Storage Location","Batch","Debit/Credit Ind.","Amt.in Loc.Cur.","Currency","Qty in UoE + sign","Qty in base un. + sign","Quantity in base unit","Document Date",
"2026-09-13","1000317","T-SSP232","1","20","","4900006773","2","261","101A","","H","125.00","EUR","20","20","20","2026-09-13",
"2026-09-13","1000317","T-FSP132","4","10","","4900006774","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-13",
"2026-09-13","1000318","T-RSP132","1","10","","4900006775","2","261","101B","","H","16.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000318","T-SSP132","1","10","","4900006777","1","261","101B","","H","446.90","EUR","10","10","10","2026-09-13",
"2026-09-13","1000318","T-SSP232","1","20","","4900006775","1","261","101B","","H","125.00","EUR","20","20","20","2026-09-13",
"2026-09-13","1000319","T-RSP133","1","10","","4900006779","2","261","101B","","H","16.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000319","T-SSP133","1","10","","4900006781","1","261","101B","","H","446.90","EUR","10","10","10","2026-09-13",
"2026-09-13","1000319","T-SSP233","1","20","","4900006779","1","261","101B","","H","125.00","EUR","20","20","20","2026-09-13",
"2026-09-13","1000319","T-FSP133","4","10","","5000000324","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-13",
"2026-09-13","1000321","T-RSP131","1","10","","4900006787","3","261","101B","","H","16.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000321","T-RSP531","1","10","","4900006787","4","261","101B","","H","2.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000321","T-SSP131","1","10","","4900006787","1","261","101B","","H","446.90","EUR","10","10","10","2026-09-13",
"2026-09-13","1000321","T-SSP231","1","20","","4900006787","2","261","101B","","H","125.00","EUR","20","20","20","2026-09-13",
"2026-09-13","1000321","T-FSP131","4","10","","4900006788","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-13",
"2026-09-13","1000322","T-RSP130","1","10","","4900006792","2","261","101B","","H","16.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000322","T-RSP530","1","10","","4900006792","3","261","101B","","H","2.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000322","T-SSP230","1","20","","4900006792","1","261","101B","","H","125.00","EUR","20","20","20","2026-09-13",
"2026-09-13","1000322","T-FSP130","4","10","","4900006793","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-13",
"2026-09-13","1000323","T-RSP130","1","10","","4900006795","2","261","101B","","H","16.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000323","T-SSP130","1","10","","4900006796","1","261","101B","","H","446.90","EUR","10","10","10","2026-09-13",
"2026-09-13","1000323","T-SSP230","1","20","","4900006795","1","261","101B","","H","125.00","EUR","20","20","20","2026-09-13",
"2026-09-13","1000323","T-FSP130","4","10","","5000000325","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-13",
"2026-09-13","1000324","T-RSP136","1","10","","4900006800","3","261","101B","","H","16.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000324","T-SSP136","1","10","","4900006800","1","261","101B","","H","446.90","EUR","10","10","10","2026-09-13",
"2026-09-13","1000324","T-SSP236","1","20","","4900006800","2","261","101B","","H","125.00","EUR","20","20","20","2026-09-13",
"2026-09-13","1000324","T-FSP136","4","10","","4900006801","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-13",
"2026-09-13","1000326","T-RSP136","1","10","","4900006803","2","261","101B","","H","16.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000326","T-SSP136","1","10","","4900006804","1","261","101B","","H","446.90","EUR","10","10","10","2026-09-13",
"2026-09-13","1000326","T-SSP236","1","20","","4900006803","1","261","101B","","H","125.00","EUR","20","20","20","2026-09-13",
"2026-09-13","1000326","T-FSP136","4","10","","5000000326","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-13",
"2026-09-13","1000327","T-RSP136","1","10","","4900006806","3","261","101B","","H","16.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000327","T-RSP536","1","10","","4900006808","2","261","101B","","H","2.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000327","T-SSP136","1","10","","4900006806","1","261","101B","","H","446.90","EUR","10","10","10","2026-09-13",
"2026-09-13","1000327","T-SSP236","1","20","","4900006806","2","261","101B","","H","125.00","EUR","20","20","20","2026-09-13",
"2026-09-13","1000327","T-FSP136","4","10","","4900006808","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-13",
"2026-09-13","1000329","T-RSP137","1","10","","4900006811","2","261","101B","","H","16.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000329","T-SSP137","1","10","","4900006812","1","261","101B","","H","446.90","EUR","10","10","10","2026-09-13",
"2026-09-13","1000329","T-SSP237","1","20","","4900006811","1","261","101B","","H","125.00","EUR","20","20","20","2026-09-13",
"2026-09-13","1000329","T-FSP137","4","10","","5000000328","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-13",
"2026-09-13","1000330","T-RSP137","1","10","","4900006815","3","261","101B","","H","16.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000330","T-RSP537","1","10","","4900006816","2","261","101B","","H","2.50","EUR","10","10","10","2026-09-13",
"2026-09-13","1000330","T-SSP137","1","10","","4900006815","1","261","101B","","H","446.90","EUR","10","10","10","2026-09-13",
"2026-09-13","1000330","T-SSP237","1","20","","4900006815","2","261","101B","","H","125.00","EUR","20","20","20","2026-09-13",
"2026-09-13","1000330","T-FSP137","4","10","","4900006816","1","101","101A","","S","-1137.20","EUR","-10","-10","10","2026-09-13",
