"Material","Valuation Area","Standard price","Price unit",
"T-FL1B81","1010","1253.10","1",
"T-FL1B82","1010","1253.10","1",
"T-FL1B83","1010","1253.10","1",
"T-FL1B84","1010","1253.10","1",
"T-FL1B85","1010","1253.10","1",
"T-FL1B86","1010","1253.10","1",
"T-FL1B87","1010","1253.10","1",
"T-FL1B88","1010","1253.10","1",
"T-FL1B89","1010","1253.10","1",
"T-FL1B90","1010","1253.10","1",
"T-FL1B91","1010","1253.10","1",
"T-FL1B92","1010","1253.10","1",
"T-FL1B93","1010","1253.10","1",
"T-FL1B94","1010","1253.10","1",
"T-FL1B95","1010","1253.10","1",
"T-FL1B96","1010","1253.10","1",
"T-FL1B97","1010","1253.10","1",
"T-FL1B98","1010","1253.10","1",
"T-FL1B99","1010","1253.10","1",
"T-FL1C31","1010","1459.10","1",
"T-FL1C32","1010","1459.10","1",
"T-FL1C33","1010","1459.10","1",
"T-FL1C34","1010","1459.10","1",
"T-FL1C35","1010","1459.10","1",
"T-FL1C36","1010","1459.10","1",
"T-FL1C37","1010","1459.10","1",
"T-FL1C38","1010","1459.10","1",
"T-FL1C39","1010","1459.10","1",
"T-FL1C40","1010","1459.10","1",
"T-FL1C41","1010","1459.10","1",
"T-FL1C42","1010","1459.10","1",
"T-FL1C43","1010","1459.10","1",
"T-FL1C44","1010","1459.10","1",
"T-FL1C45","1010","1459.10","1",
"T-FL1C46","1010","1459.10","1",
"T-FL1C47","1010","1459.10","1",
"T-FL1C48","1010","1459.10","1",
"T-FL1C49","1010","1459.10","1",
"T-FL1C50","1010","1459.10","1",
"T-FL1C51","1010","1459.10","1",
"T-FL1C52","1010","1459.10","1",
"T-FL1C53","1010","1459.10","1",
"T-FL1C54","1010","1459.10","1",
"T-FL1C55","1010","1459.10","1",
"T-FL1C56","1010","1459.10","1",
"T-FL1C57","1010","1459.10","1",
"T-FL1C58","1010","1459.10","1",
"T-FL1C59","1010","1459.10","1",
"T-FL1C60","1010","1459.10","1",
"T-FL1C61","1010","1459.10","1",
"T-FL1C62","1010","1459.10","1",
"T-FL1C63","1010","1459.10","1",
"T-FL1C64","1010","1459.10","1",
"T-FL1C65","1010","1459.10","1",
"T-FL1C66","1010","1459.10","1",
"T-FL1C67","1010","1459.10","1",
"T-FL1C68","1010","1459.10","1",
"T-FL1C69","1010","1459.10","1",
"T-FL1C70","1010","1459.10","1",
"T-FL1C71","1010","1459.10","1",
"T-FL1C72","1010","1459.10","1",
"T-FL1C73","1010","1459.10","1",
"T-FL1C74","1010","1459.10","1",
"T-FL1C75","1010","1459.10","1",
"T-FL1C76","1010","1459.10","1",
"T-FL1C77","1010","1459.10","1",
"T-FL1C78","1010","1459.10","1",
"T-FL1C79","1010","1459.10","1",
"T-FL1C80","1010","1459.10","1",
"T-FL1C81","1010","1459.10","1",
"T-FL1C82","1010","1459.10","1",
"T-FL1C83","1010","1459.10","1",
"T-FL1C84","1010","1459.10","1",
"T-FL1C85","1010","1459.10","1",
"T-FL1C86","1010","1459.10","1",
"T-FL1C87","1010","1459.10","1",
"T-FL1C88","1010","1459.10","1",
"T-FL1C89","1010","1459.10","1",
"T-FL1C90","1010","1459.10","1",
"T-FL1C91","1010","1459.10","1",
"T-FL1C92","1010","1459.10","1",
"T-FL1C93","1010","1459.10","1",
"T-FL1C94","1010","1459.10","1",
"T-FL1C95","1010","1459.10","1",
"T-FL1C96","1010","1459.10","1",
"T-FL1C97","1010","1459.10","1",
"T-FL1C98","1010","1459.10","1",
"T-FL1C99","1010","1459.10","1",
"T-FL1D31","1010","1047.10","1",
"T-FL1D32","1010","1047.10","1",
"T-FL1D33","1010","1047.10","1",
"T-FL1D34","1010","1047.10","1",
"T-FL1D35","1010","1047.10","1",
"T-FL1D36","1010","1047.10","1",
"T-FL1D37","1010","1047.10","1",
"T-FL1D38","1010","1047.10","1",
"T-FL1D39","1010","1047.10","1",
"T-FL1D40","1010","1047.10","1",
"T-FL1D41","1010","1047.10","1",
"T-FL1D42","1010","1047.10","1",
"T-FL1D43","1010","1047.10","1",
"T-FL1D44","1010","1047.10","1",
"T-FL1D45","1010","1047.10","1",
"T-FL1D46","1010","1047.10","1",
"T-FL1D47","1010","1047.10","1",
"T-FL1D48","1010","1047.10","1",
"T-FL1D49","1010","1047.10","1",
"T-FL1D50","1010","1047.10","1",
"T-FL1D51","1010","1047.10","1",
"T-FL1D52","1010","1047.10","1",
"T-FL1D53","1010","1047.10","1",
"T-FL1D54","1010","1047.10","1",
"T-FL1D55","1010","1047.10","1",
"T-FL1D56","1010","1047.10","1",
"T-FL1D57","1010","1047.10","1",
"T-FL1D58","1010","1047.10","1",
"T-FL1D59","1010","1047.10","1",
"T-FL1D60","1010","1047.10","1",
"T-FL1D61","1010","1047.10","1",
"T-FL1D62","1010","1047.10","1",
"T-FL1D63","1010","1047.10","1",
"T-FL1D64","1010","1047.10","1",
"T-FL1D65","1010","1047.10","1",
"T-FL1D66","1010","1047.10","1",
"T-FL1D67","1010","1047.10","1",
"T-FL1D68","1010","1047.10","1",
"T-FL1D69","1010","1047.10","1",
"T-FL1D70","1010","1047.10","1",
"T-FL1D71","1010","1047.10","1",
"T-FL1D72","1010","1047.10","1",
"T-FL1D73","1010","1047.10","1",
"T-FL1D74","1010","1047.10","1",
"T-FL1D75","1010","1047.10","1",
"T-FL1D76","1010","1047.10","1",
"T-FL1D77","1010","1047.10","1",
"T-FL1D78","1010","1047.10","1",
"T-FL1D79","1010","1047.10","1",
"T-FL1D80","1010","1047.10","1",
"T-FL1D81","1010","1047.10","1",
"T-FL1D82","1010","1047.10","1",
"T-FL1D83","1010","1047.10","1",
"T-FL1D84","1010","1047.10","1",
"T-FL1D85","1010","1047.10","1",
"T-FL1D86","1010","1047.10","1",
"T-FL1D87","1010","1047.10","1",
"T-FL1D88","1010","1047.10","1",
"T-FL1D89","1010","1047.10","1",
"T-FL1D90","1010","1047.10","1",
"T-FL1D91","1010","1047.10","1",
"T-FL1D92","1010","1047.10","1",
"T-FL1D93","1010","1047.10","1",
"T-FL1D94","1010","1047.10","1",
"T-FL1D95","1010","1047.10","1",
"T-FL1D96","1010","1047.10","1",
"T-FL1D97","1010","1047.10","1",
"T-FL1D98","1010","1047.10","1",
"T-FL1D99","1010","1047.10","1",
"T-FL3A31","1010","2826.80","1",
"T-FL3A32","1010","2826.80","1",
"T-FL3A33","1010","2826.80","1",
"T-FL3A34","1010","2826.80","1",
"T-FL3A35","1010","2826.80","1",
"T-FL3A36","1010","2826.80","1",
"T-FL3A37","1010","2826.80","1",
"T-FL3A38","1010","2826.80","1",
"T-FL3A39","1010","2826.80","1",
"T-FL3A40","1010","2826.80","1",
"T-FL3A41","1010","2826.80","1",
"T-FL3A42","1010","2826.80","1",
"T-FL3A43","1010","2826.80","1",
"T-FL3A44","1010","2826.80","1",
"T-FL3A45","1010","2826.80","1",
"T-FL3A46","1010","2826.80","1",
"T-FL3A47","1010","2826.80","1",
"T-FL3A48","1010","2826.80","1",
"T-FL3A49","1010","2826.80","1",
"T-FL3A50","1010","2826.80","1",
"T-FL3A51","1010","2826.80","1",
"T-FL3A52","1010","2826.80","1",
"T-FL3A53","1010","2826.80","1",
"T-FL3A54","1010","2826.80","1",
"T-FL3A55","1010","2826.80","1",
"T-FL3A56","1010","2826.80","1",
"T-FL3A57","1010","2826.80","1",
"T-FL3A58","1010","2826.80","1",
"T-FL3A59","1010","2826.80","1",
"T-FL3A60","1010","2826.80","1",
"T-FL3A61","1010","2826.80","1",
"T-FL3A62","1010","2826.80","1",
"T-FL3A63","1010","2826.80","1",
"T-FL3A64","1010","2826.80","1",
"T-FL3A65","1010","2826.80","1",
"T-FL3A66","1010","2826.80","1",
"T-FL3A67","1010","2826.80","1",
"T-FL3A68","1010","2826.80","1",
"T-FL3A69","1010","2826.80","1",
"T-FL3A70","1010","2826.80","1",
"T-FL3A71","1010","2826.80","1",
"T-FL3A72","1010","2826.80","1",
"T-FL3A73","1010","2826.80","1",
"T-FL3A74","1010","2826.80","1",
"T-FL3A75","1010","2826.80","1",
"T-FL3A76","1010","2826.80","1",
"T-FL3A77","1010","2826.80","1",
"T-FL3A78","1010","2826.80","1",
"T-FL3A79","1010","2826.80","1",
"T-FL3A80","1010","2826.80","1",
"T-FL3A81","1010","2826.80","1",
"T-FL3A82","1010","2826.80","1",
"T-FL3A83","1010","2826.80","1",
"T-FL3A84","1010","2826.80","1",
"T-FL3A85","1010","2826.80","1",
"T-FL3A86","1010","2826.80","1",
"T-FL3A87","1010","2826.80","1",
"T-FL3A88","1010","2826.80","1",
"T-FL3A89","1010","2826.80","1",
"T-FL3A90","1010","2826.80","1",
"T-FL3A91","1010","2826.80","1",
"T-FL3A92","1010","2826.80","1",
"T-FL3A93","1010","2826.80","1",
"T-FL3A94","1010","2826.80","1",
"T-FL3A95","1010","2826.80","1",
"T-FL3A96","1010","2826.80","1",
"T-FL3A97","1010","2826.80","1",
"T-FL3A98","1010","2826.80","1",
"T-FL3A99","1010","2826.80","1",
"T-FL3B31","1010","1026.80","1",
"T-FL3B32","1010","1026.80","1",
"T-FL3B33","1010","1026.80","1",
"T-FL3B34","1010","1026.80","1",
"T-FL3B35","1010","1026.80","1",
"T-FL3B36","1010","1026.80","1",
"T-FL3B37","1010","1026.80","1",
"T-FL3B38","1010","1026.80","1",
"T-FL3B39","1010","1026.80","1",
"T-FL3B40","1010","1026.80","1",
"T-FL3B41","1010","1026.80","1",
"T-FL3B42","1010","1026.80","1",
"T-FL3B43","1010","1026.80","1",
"T-FL3B44","1010","1026.80","1",
"T-FL3B45","1010","1026.80","1",
"T-FL3B46","1010","1026.80","1",
"T-FL3B47","1010","1026.80","1",
"T-FL3B48","1010","1026.80","1",
"T-FL3B49","1010","1026.80","1",
"T-FL3B50","1010","1026.80","1",
"T-FL3B51","1010","1026.80","1",
"T-FL3B52","1010","1026.80","1",
"T-FL3B53","1010","1026.80","1",
"T-FL3B54","1010","1026.80","1",
"T-FL3B55","1010","1026.80","1",
"T-FL3B56","1010","1026.80","1",
"T-FL3B57","1010","1026.80","1",
"T-FL3B58","1010","1026.80","1",
"T-FL3B59","1010","1026.80","1",
"T-FL3B60","1010","1026.80","1",
"T-FL3B61","1010","1026.80","1",
"T-FL3B62","1010","1026.80","1",
"T-FL3B63","1010","1026.80","1",
"T-FL3B64","1010","1026.80","1",
"T-FL3B65","1010","1026.80","1",
"T-FL3B66","1010","1026.80","1",
"T-FL3B67","1010","1026.80","1",
"T-FL3B68","1010","1026.80","1",
"T-FL3B69","1010","1026.80","1",
"T-FL3B70","1010","1026.80","1",
"T-FL3B71","1010","1026.80","1",
"T-FL3B72","1010","1026.80","1",
"T-FL3B73","1010","1026.80","1",
"T-FL3B74","1010","1026.80","1",
"T-FL3B75","1010","1026.80","1",
"T-FL3B76","1010","1026.80","1",
"T-FL3B77","1010","1026.80","1",
"T-FL3B78","1010","1026.80","1",
"T-FL3B79","1010","1026.80","1",
"T-FL3B80","1010","1026.80","1",
"T-FL3B81","1010","1026.80","1",
"T-FL3B82","1010","1026.80","1",
"T-FL3B83","1010","1026.80","1",
"T-FL3B84","1010","1026.80","1",
"T-FL3B85","1010","1026.80","1",
"T-FL3B86","1010","1026.80","1",
"T-FL3B87","1010","1026.80","1",
"T-FL3B88","1010","1026.80","1",
"T-FL3B89","1010","1026.80","1",
"T-FL3B90","1010","1026.80","1",
"T-FL3B91","1010","1026.80","1",
"T-FL3B92","1010","1026.80","1",
"T-FL3B93","1010","1026.80","1",
"T-FL3B94","1010","1026.80","1",
"T-FL3B95","1010","1026.80","1",
"T-FL3B96","1010","1026.80","1",
"T-FL3B97","1010","1026.80","1",
"T-FL3B98","1010","1026.80","1",
"T-FL3B99","1010","1026.80","1",
"T-FL3C31","1010","226.80","1",
"T-FL3C32","1010","226.80","1",
"T-FL3C33","1010","226.80","1",
"T-FL3C34","1010","226.80","1",
"T-FL3C35","1010","226.80","1",
"T-FL3C36","1010","226.80","1",
"T-FL3C37","1010","226.80","1",
"T-FL3C38","1010","226.80","1",
"T-FL3C39","1010","226.80","1",
"T-FL3C40","1010","226.80","1",
"T-FL3C41","1010","226.80","1",
"T-FL3C42","1010","226.80","1",
"T-FL3C43","1010","226.80","1",
"T-FL3C44","1010","226.80","1",
"T-FL3C45","1010","226.80","1",
"T-FL3C46","1010","226.80","1",
"T-FL3C47","1010","226.80","1",
"T-FL3C48","1010","226.80","1",
"T-FL3C49","1010","226.80","1",
"T-FL3C50","1010","226.80","1",
"T-FL3C51","1010","226.80","1",
"T-FL3C52","1010","226.80","1",
"T-FL3C53","1010","226.80","1",
"T-FL3C54","1010","226.80","1",
"T-FL3C55","1010","226.80","1",
"T-FL3C56","1010","226.80","1",
"T-FL3C57","1010","226.80","1",
"T-FL3C58","1010","226.80","1",
"T-FL3C59","1010","226.80","1",
"T-FL3C60","1010","226.80","1",
"T-FL3C61","1010","226.80","1",
"T-FL3C62","1010","226.80","1",
"T-FL3C63","1010","226.80","1",
"T-FL3C64","1010","226.80","1",
"T-FL3C65","1010","226.80","1",
"T-FL3C66","1010","226.80","1",
"T-FL3C67","1010","226.80","1",
"T-FL3C68","1010","226.80","1",
"T-FL3C69","1010","226.80","1",
"T-FL3C70","1010","226.80","1",
"T-FL3C71","1010","226.80","1",
"T-FL3C72","1010","226.80","1",
"T-FL3C73","1010","226.80","1",
"T-FL3C74","1010","226.80","1",
"T-FL3C75","1010","226.80","1",
"T-FL3C76","1010","226.80","1",
"T-FL3C77","1010","226.80","1",
"T-FL3C78","1010","226.80","1",
"T-FL3C79","1010","226.80","1",
"T-FL3C80","1010","226.80","1",
"T-FL3C81","1010","226.80","1",
"T-FL3C82","1010","226.80","1",
"T-FL3C83","1010","226.80","1",
"T-FL3C84","1010","226.80","1",
"T-FL3C85","1010","226.80","1",
"T-FL3C86","1010","226.80","1",
"T-FL3C87","1010","226.80","1",
"T-FL3C88","1010","226.80","1",
"T-FL3C89","1010","226.80","1",
"T-FL3C90","1010","226.80","1",
"T-FL3C91","1010","226.80","1",
"T-FL3C92","1010","226.80","1",
"T-FL3C93","1010","226.80","1",
"T-FL3C94","1010","226.80","1",
"T-FL3C95","1010","226.80","1",
"T-FL3C96","1010","226.80","1",
"T-FL3C97","1010","226.80","1",
"T-FL3C98","1010","226.80","1",
"T-FL3C99","1010","226.80","1",
"T-FL4A31","1010","754.38","1",
"T-FL4A32","1010","754.38","1",
"T-FL4A33","1010","754.38","1",
"T-FL4A34","1010","754.38","1",
"T-FL4A35","1010","754.38","1",
"T-FL4A36","1010","754.38","1",
"T-FL4A37","1010","754.38","1",
"T-FL4A38","1010","754.38","1",
"T-FL4A39","1010","754.38","1",
"T-FL4A40","1010","754.38","1",
"T-FL4A41","1010","754.38","1",
"T-FL4A42","1010","754.38","1",
"T-FL4A43","1010","754.38","1",
"T-FL4A44","1010","754.38","1",
"T-FL4A45","1010","754.38","1",
"T-FL4A46","1010","754.38","1",
"T-FL4A47","1010","754.38","1",
"T-FL4A48","1010","754.38","1",
"T-FL4A49","1010","754.38","1",
"T-FL4A50","1010","754.38","1",
"T-FL4A51","1010","754.38","1",
"T-FL4A52","1010","754.38","1",
"T-FL4A53","1010","754.38","1",
"T-FL4A54","1010","754.38","1",
"T-FL4A55","1010","754.38","1",
"T-FL4A56","1010","754.38","1",
"T-FL4A57","1010","754.38","1",
"T-FL4A58","1010","754.38","1",
"T-FL4A59","1010","754.38","1",
"T-FL4A60","1010","754.38","1",
"T-FL4A61","1010","754.38","1",
"T-FL4A62","1010","754.38","1",
"T-FL4A63","1010","754.38","1",
"T-FL4A64","1010","754.38","1",
"T-FL4A65","1010","754.38","1",
"T-FL4A66","1010","754.38","1",
"T-FL4A67","1010","754.38","1",
"T-FL4A68","1010","754.38","1",
"T-FL4A69","1010","754.38","1",
"T-FL4A70","1010","754.38","1",
"T-FL4A71","1010","754.38","1",
"T-FL4A72","1010","754.38","1",
"T-FL4A73","1010","754.38","1",
"T-FL4A74","1010","754.38","1",
"T-FL4A75","1010","754.38","1",
"T-FL4A76","1010","754.38","1",
"T-FL4A77","1010","754.38","1",
"T-FL4A78","1010","754.38","1",
"T-FL4A79","1010","754.38","1",
"T-FL4A80","1010","754.38","1",
"T-FL4A81","1010","754.38","1",
"T-FL4A82","1010","754.38","1",
"T-FL4A83","1010","754.38","1",
"T-FL4A84","1010","754.38","1",
"T-FL4A85","1010","754.38","1",
"T-FL4A86","1010","754.38","1",
"T-FL4A87","1010","754.38","1",
"T-FL4A88","1010","754.38","1",
"T-FL4A89","1010","754.38","1",
"T-FL4A90","1010","754.38","1",
"T-FL4A91","1010","754.38","1",
"T-FL4A92","1010","754.38","1",
"T-FL4A93","1010","754.38","1",
"T-FL4A94","1010","754.38","1",
"T-FL4B31","1010","826.80","1",
"T-FL4B32","1010","826.80","1",
"T-FL4B33","1010","826.80","1",
"T-FL4B34","1010","826.80","1",
"T-FL4B35","1010","826.80","1",
"T-FL4B36","1010","826.80","1",
"T-FL4B37","1010","826.80","1",
"T-FL4B38","1010","826.80","1",
"T-FL4B39","1010","826.80","1",
"T-FL4B40","1010","826.80","1",
"T-FL4B41","1010","826.80","1",
"T-FL4B42","1010","826.80","1",
"T-FL4B43","1010","826.80","1",
"T-FL4B44","1010","826.80","1",
"T-FL4B45","1010","826.80","1",
"T-FL4B46","1010","826.80","1",
"T-FL4B47","1010","826.80","1",
"T-FL4B48","1010","826.80","1",
"T-FL4B49","1010","826.80","1",
"T-FL4B50","1010","826.80","1",
"T-FL4B51","1010","826.80","1",
"T-FL4B52","1010","826.80","1",
